Date,Open,High,Low,Close,Adj Close,Volume
2021-03-04,40496.929688,40696.351563,39309.820313,39842.429688,39842.429688,0
2021-03-05,39842.429688,40646.828125,39172.941406,40564.859375,40564.859375,0
2021-03-08,40564.859375,40987.101563,40293.648438,40314.000000,40314.000000,0
2021-03-09,40314.000000,41283.601563,40314.000000,40996.250000,40996.250000,0
2021-03-10,40996.250000,41475.058594,40996.250000,41275.398438,41275.398438,0
2021-03-11,41275.398438,42004.941406,41275.398438,41844.988281,41844.988281,0
2021-03-12,41844.988281,42263.828125,41541.019531,41900.339844,41900.339844,0
2021-03-15,41900.339844,42202.371094,41711.441406,42198.011719,42198.011719,0
2021-03-16,42198.011719,42276.261719,41876.929688,42013.828125,42013.828125,0
2021-03-17,42013.828125,42265.609375,41666.531250,42154.699219,42154.699219,0
2021-03-18,42154.699219,42154.699219,41315.839844,41373.339844,41373.339844,0
2021-03-19,41373.339844,41601.980469,41083.921875,41443.121094,41443.121094,0
2021-03-22,41443.121094,41844.531250,41443.121094,41670.691406,41670.691406,0
2021-03-23,41670.691406,41670.691406,41098.738281,41192.851563,41192.851563,0
2021-03-24,41192.851563,41513.871094,40794.078125,40794.171875,40794.171875,0
2021-03-25,40794.171875,41172.808594,40352.800781,41067.191406,41067.191406,0
2021-03-26,41067.191406,41737.808594,41067.191406,41720.148438,41720.148438,0
2021-03-29,41720.148438,41720.148438,41278.441406,41521.441406,41521.441406,0
2021-03-30,41521.441406,41593.250000,41258.250000,41500.550781,41500.550781,0
2021-03-31,41500.550781,41964.558594,41500.550781,41741.871094,41741.871094,0
2021-04-01,41741.871094,42286.261719,41741.871094,42280.968750,42280.968750,0
2021-04-05,42280.968750,42839.738281,42280.968750,42805.800781,42805.800781,0
2021-04-06,42805.800781,42961.109375,42742.789063,42815.628906,42815.628906,0
2021-04-07,42815.628906,42879.378906,42681.140625,42778.859375,42778.859375,0
2021-04-08,42778.859375,43019.718750,42778.859375,43019.710938,43019.710938,0
2021-04-09,43019.710938,43290.378906,42970.808594,43288.238281,43288.238281,0
2021-04-12,43288.238281,43310.089844,43111.781250,43273.250000,43273.250000,0
2021-04-13,43273.250000,43516.441406,43251.410156,43448.300781,43448.300781,0
2021-04-14,43448.300781,43632.878906,43259.460938,43297.550781,43297.550781,0
2021-04-15,43297.550781,43787.859375,43297.550781,43769.218750,43769.218750,0
2021-04-16,43769.218750,43944.328125,43710.011719,43887.910156,43887.910156,0
2021-04-19,43887.910156,43887.910156,43443.960938,43588.460938,43588.460938,0
2021-04-20,43588.460938,43588.460938,43000.019531,43208.250000,43208.250000,0
2021-04-21,43208.250000,43677.109375,43079.859375,43673.609375,43673.609375,0
2021-04-22,43673.609375,43854.238281,43213.898438,43342.230469,43342.230469,0
2021-04-23,43342.230469,44013.820313,43342.230469,43875.281250,43875.281250,0
2021-04-26,43875.281250,44115.621094,43875.281250,44050.031250,44050.031250,0
2021-04-27,44050.031250,44117.710938,43951.269531,44049.378906,44049.378906,0
2021-04-28,44049.378906,44207.769531,44003.101563,44027.671875,44027.671875,0
2021-04-29,44027.671875,44386.089844,43852.691406,44220.949219,44220.949219,0
2021-04-30,44220.949219,44220.949219,43804.828125,43870.089844,43870.089844,0
2021-05-03,43870.089844,44122.738281,43870.089844,43933.859375,43933.859375,0
2021-05-04,43933.859375,43933.859375,43165.218750,43559.601563,43559.601563,0
2021-05-05,43559.601563,43782.011719,43448.878906,43513.761719,43513.761719,0
2021-05-06,43513.761719,43732.019531,43168.898438,43723.921875,43723.921875,0
2021-05-07,43723.921875,44155.539063,43723.921875,44085.070313,44085.070313,0
2021-05-10,44085.070313,44085.070313,43515.101563,43515.148438,43515.148438,0
2021-05-11,43515.148438,43515.148438,42716.929688,43219.050781,43219.050781,0
2021-05-12,43219.050781,43219.050781,42146.750000,42208.539063,42208.539063,0
2021-05-13,42208.539063,42869.968750,42208.539063,42656.269531,42656.269531,0
2021-05-14,42656.269531,43503.019531,42656.269531,43415.800781,43415.800781,0
2021-05-17,43415.800781,43415.800781,43067.699219,43318.570313,43318.570313,0
2021-05-18,43318.570313,43468.550781,43015.230469,43016.019531,43016.019531,0
2021-05-19,43016.019531,43016.019531,42293.921875,42865.519531,42865.519531,0
2021-05-20,42865.519531,43465.218750,42865.519531,43344.191406,43344.191406,0
2021-05-21,43344.191406,43679.460938,43282.789063,43322.738281,43322.738281,0
2021-05-24,43322.738281,43885.480469,43322.738281,43751.281250,43751.281250,0
2021-05-25,43751.281250,43942.769531,43581.160156,43619.738281,43619.738281,0
2021-05-26,43619.738281,43875.531250,43619.738281,43828.550781,43828.550781,0
2021-05-27,43828.550781,44011.878906,43828.550781,43943.269531,43943.269531,0
2021-05-28,43943.269531,44117.300781,43943.269531,43966.359375,43966.359375,0
2021-06-01,43966.359375,44266.378906,43926.128906,44015.468750,44015.468750,0
2021-06-02,44015.468750,44143.820313,43970.851563,44088.500000,44088.500000,0
2021-06-03,44088.500000,44088.500000,43587.039063,43845.960938,43845.960938,0
2021-06-04,43845.960938,44277.078125,43845.960938,44239.750000,44239.750000,0
2021-06-07,44239.750000,44332.980469,44188.421875,44316.871094,44316.871094,0
2021-06-08,44316.871094,44472.261719,44146.019531,44410.171875,44410.171875,0
2021-06-09,44410.171875,44513.578125,44280.800781,44283.761719,44283.761719,0
2021-06-10,44283.761719,44573.878906,44245.351563,44468.519531,44468.519531,0
2021-06-11,44468.519531,44618.691406,44437.988281,44618.148438,44618.148438,0
2021-06-14,44618.148438,44675.531250,44494.468750,44675.171875,44675.171875,0
2021-06-15,44675.171875,44676.820313,44422.410156,44535.800781,44535.800781,0
2021-06-16,44535.800781,44551.058594,44063.671875,44328.968750,44328.968750,0
2021-06-17,44328.968750,44420.691406,44005.609375,44313.058594,44313.058594,0
2021-06-18,44313.058594,44313.058594,43746.640625,43762.781250,43762.781250,0
2021-06-21,43762.781250,44376.960938,43762.781250,44359.210938,44359.210938,0
2021-06-22,44359.210938,44687.988281,44259.808594,44595.441406,44595.441406,0
2021-06-23,44595.441406,44741.460938,44589.460938,44592.429688,44592.429688,0
2021-06-24,44592.429688,44930.601563,44592.429688,44886.570313,44886.570313,0
2021-06-25,44886.570313,45091.328125,44886.570313,45037.960938,45037.960938,0
2021-06-28,45037.960938,45133.000000,44932.738281,45109.941406,45109.941406,0
2021-06-29,45109.941406,45206.871094,45043.011719,45094.898438,45094.898438,0
2021-06-30,45094.898438,45161.628906,45029.031250,45113.859375,45113.859375,0
2021-07-01,45113.859375,45325.570313,45113.859375,45313.761719,45313.761719,0
2021-07-02,45313.761719,45594.191406,45313.761719,45563.390625,45563.390625,0
2021-07-06,45563.390625,45596.921875,45146.460938,45453.089844,45453.089844,0
2021-07-07,45453.089844,45595.878906,45212.070313,45502.781250,45502.781250,0
2021-07-08,45502.781250,45502.781250,44705.519531,45112.808594,45112.808594,0
2021-07-09,45112.808594,45701.019531,45112.808594,45684.890625,45684.890625,0
2021-07-12,45684.890625,45800.750000,45612.968750,45789.390625,45789.390625,0
2021-07-13,45789.390625,45799.539063,45494.570313,45513.601563,45513.601563,0
2021-07-14,45513.601563,45762.468750,45333.738281,45410.738281,45410.738281,0
2021-07-15,45410.738281,45410.738281,45001.199219,45247.488281,45247.488281,0
2021-07-16,45247.488281,45431.750000,44872.050781,44920.281250,44920.281250,0
2021-07-19,44920.281250,44920.281250,43997.480469,44271.941406,44271.941406,0
2021-07-20,44271.941406,45192.601563,44271.941406,45045.000000,45045.000000,0
2021-07-21,45045.000000,45469.078125,45045.000000,45463.691406,45463.691406,0
2021-07-22,45463.691406,45537.328125,45308.441406,45491.539063,45491.539063,0
2021-07-23,45491.539063,45970.808594,45491.539063,45940.781250,45940.781250,0
2021-07-26,45940.781250,46040.820313,45897.609375,46039.640625,46039.640625,0
2021-07-27,46039.640625,46039.640625,45411.171875,45744.250000,45744.250000,0
2021-07-28,45744.250000,45989.460938,45668.011719,45830.738281,45830.738281,0
2021-07-29,45830.738281,46164.250000,45830.738281,46003.000000,46003.000000,0
2021-07-30,46003.000000,46003.000000,45651.269531,45708.000000,45708.000000,0
2021-08-02,45708.000000,45975.871094,45617.488281,45648.339844,45648.339844,0
2021-08-03,45648.339844,45959.210938,45425.031250,45957.968750,45957.968750,0
2021-08-04,45957.968750,45957.968750,45736.859375,45762.511719,45762.511719,0
2021-08-05,45762.511719,46107.699219,45762.511719,46105.679688,46105.679688,0
2021-08-06,46105.679688,46245.691406,46053.878906,46143.351563,46143.351563,0
2021-08-09,46143.351563,46202.890625,46000.238281,46125.269531,46125.269531,0
2021-08-10,46125.269531,46251.519531,46093.890625,46145.011719,46145.011719,0
2021-08-11,46145.011719,46266.441406,46062.000000,46248.910156,46248.910156,0
2021-08-12,46248.910156,46377.429688,46111.539063,46366.230469,46366.230469,0
2021-08-13,46366.230469,46410.941406,46319.789063,46378.570313,46378.570313,0
2021-08-16,46378.570313,46378.570313,45970.539063,46360.031250,46360.031250,0
2021-08-17,46360.031250,46360.031250,45668.679688,45999.980469,45999.980469,0
2021-08-18,45999.980469,46081.238281,45534.828125,45556.488281,45556.488281,0
2021-08-19,45556.488281,45658.199219,45204.660156,45498.261719,45498.261719,0
2021-08-20,45498.261719,45929.371094,45498.261719,45908.660156,45908.660156,0
